gameindex,year,month,day,round,hometeamindex,awayteamindex,homewinodds,drawodds,awayteamodds,overtime,homescore,awayscore,homepenaltyscore,awaypenaltyscore
396,2011,10,8,,7,5,2.03,3.22,3.49,0,3,2,0,0
397,2011,10,8,,6,10,1.91,3.37,3.68,0,0,0,0,0
398,2011,10,8,,2,3,2.17,3.23,3.11,0,1,0,0,0
399,2011,10,9,,4,11,1.84,3.34,4.05,0,1,1,0,0
400,2011,10,9,,9,1,2.45,3.21,2.70,0,1,0,0,0
401,2011,10,14,,1,6,2.45,3.23,2.69,0,1,0,0,0
402,2011,10,15,,3,4,1.84,3.38,4.06,0,1,1,0,0
403,2011,10,15,,10,2,2.56,3.20,2.60,0,0,2,0,0
404,2011,10,16,,11,7,2.03,3.27,3.47,0,2,0,0,0
405,2011,10,16,,5,9,2.40,3.19,2.80,0,1,2,0,0
406,2011,10,21,,2,4,1.60,3.59,5.36,0,3,0,0,0
407,2011,10,22,,1,10,2.02,3.23,3.52,0,1,2,0,0
408,2011,10,22,,6,5,1.71,3.50,4.58,0,0,0,0,0
409,2011,10,23,,7,3,2.67,3.17,2.51,0,1,0,0,0
410,2011,10,23,,9,11,1.65,3.51,5.12,0,1,0,0,0
411,2011,10,28,,2,1,1.56,3.59,5.87,0,7,1,0,0
412,2011,10,29,,3,9,2.23,3.19,3.06,0,2,1,0,0
413,2011,10,29,,5,10,2.74,3.14,2.47,0,1,1,0,0
414,2011,10,30,,11,6,2.59,3.15,2.62,0,1,2,0,0
415,2011,10,30,,4,7,2.11,3.19,3.32,0,3,1,0,0
416,2011,11,4,,11,3,2.50,3.14,2.71,0,1,2,0,0
417,2011,11,4,,1,5,2.07,3.23,3.39,0,1,1,0,0
418,2011,11,5,,7,9,2.27,3.24,2.98,0,2,0,0,0
419,2011,11,5,,6,2,3.62,3.35,1.95,0,2,2,0,0
420,2011,11,6,,10,4,1.96,3.26,3.69,0,3,2,0,0
421,2011,11,11,,1,4,2.25,3.22,2.98,0,2,1,0,0
422,2011,11,12,,5,7,2.35,3.19,2.87,0,3,0,0,0
423,2011,11,12,,3,6,2.02,3.29,3.49,0,0,0,0,0
424,2011,11,12,,9,10,2.46,3.17,2.73,0,0,1,0,0
425,2011,11,13,,2,11,1.29,4.88,9.60,0,1,1,0,0
426,2011,11,18,,4,5,2.02,3.28,3.48,0,1,2,0,0
427,2011,11,19,,11,1,2.26,3.22,2.97,0,1,1,0,0
428,2011,11,19,,7,2,4.01,3.40,1.84,0,1,2,0,0
429,2011,11,19,,10,3,2.10,3.20,3.35,0,2,3,0,0
430,2011,11,20,,6,9,1.86,3.35,4.02,0,2,2,0,0
431,2011,11,25,,1,7,2.17,3.22,3.16,0,0,0,0,0
432,2011,11,26,,3,5,1.72,3.46,4.64,0,3,1,0,0
433,2011,11,26,,2,9,1.48,3.95,6.34,0,4,0,0,0
434,2011,11,27,,11,10,2.82,3.21,2.38,0,2,1,0,0
435,2011,11,27,,6,4,1.91,3.34,3.83,0,3,2,0,0
436,2011,12,2,,1,3,3.13,3.24,2.18,0,0,4,0,0
437,2011,12,3,,7,6,2.43,3.18,2.78,0,3,1,0,0
438,2011,12,3,,9,4,2.07,3.24,3.40,0,2,0,0,0
439,2011,12,4,,5,11,2.00,3.22,3.58,0,1,0,0,0
440,2011,12,4,,10,2,4.07,3.41,1.82,0,2,0,0,0
441,2011,12,9,,2,5,1.43,4.10,6.95,0,1,2,0,0
