818,2014,10,10,,6,12,2.28,3.30,3.04,0,4,1,0,0
819,2014,10,11,,3,7,1.87,3.45,4.07,0,1,0,0,0
820,2014,10,11,,10,5,2.46,3.32,2.76,0,1,1,0,0
821,2014,10,12,,11,9,2.31,3.31,2.98,0,1,2,0,0
822,2014,10,12,,2,1,1.82,3.59,4.18,0,1,2,0,0
823,2014,10,17,,1,6,2.35,3.41,2.85,0,1,1,0,0
824,2014,10,18,,3,11,1.80,3.54,4.34,0,1,2,0,0
825,2014,10,18,,10,12,2.70,3.25,2.56,0,3,2,0,0
826,2014,10,19,,5,7,1.70,3.69,4.78,0,1,1,0,0
827,2014,10,19,,9,2,2.60,3.19,2.69,0,3,2,0,0
828,2014,10,24,,2,10,1.91,3.56,3.74,0,0,2,0,0
829,2014,10,25,,6,5,2.13,3.42,3.25,0,5,2,0,0
830,2014,10,26,,11,7,2.04,3.38,3.53,0,4,1,0,0
831,2014,10,26,,1,9,1.89,3.46,3.99,0,2,0,0,0
832,2014,10,31,,5,1,2.38,3.38,2.83,0,1,2,0,0
833,2014,11,1,,9,7,1.86,3.43,4.16,0,2,1,0,0
834,2014,11,2,,10,3,1.83,3.53,4.15,0,2,0,0,0
835,2014,11,3,,6,11,1.98,3.58,3.52,0,2,0,0,0
836,2014,11,7,,11,12,2.25,3.33,3.09,0,1,0,0,0
837,2014,11,7,,1,10,1.99,3.48,3.58,0,0,0,0,0
838,2014,11,8,,7,6,3.13,3.43,2.18,0,2,2,0,0
839,2014,11,8,,2,5,1.98,3.46,3.67,0,1,3,0,0
840,2014,11,9,,3,9,2.28,3.23,3.10,0,0,1,0,0
841,2014,11,14,,7,2,2.37,3.30,2.89,0,0,4,0,0
842,2014,11,15,,1,11,1.52,4.06,6.05,0,2,1,0,0
843,2014,11,15,,10,6,2.25,3.37,3.04,0,0,0,0,0
844,2014,11,15,,9,12,1.86,3.56,3.97,0,2,1,0,0
845,2014,11,16,,5,3,1.81,3.50,4.28,0,2,2,0,0
846,2014,11,19,,12,3,1.74,3.53,4.72,0,0,0,0,0
847,2014,11,21,,6,2,1.96,3.52,3.59,0,1,0,0,0
848,2014,11,21,,9,11,1.68,3.74,4.78,0,2,1,0,0
849,2014,11,22,,12,7,1.73,3.60,4.67,0,1,1,0,0
850,2014,11,22,,5,10,2.18,3.35,3.19,0,1,2,0,0
851,2014,11,23,,3,1,3.22,3.33,2.17,0,0,2,0,0
852,2014,11,28,,6,1,2.20,3.35,3.13,0,3,2,0,0
853,2014,11,29,,2,9,2.20,3.36,3.14,0,1,1,0,0
854,2014,11,29,,12,10,2.38,3.25,2.93,0,1,1,0,0
855,2014,11,30,,11,5,2.21,3.41,3.10,0,5,1,0,0
856,2014,11,30,,7,3,2.24,3.24,3.16,0,1,1,0,0
857,2014,12,3,,12,2,1.91,3.39,3.91,0,0,1,0,0
858,2014,12,4,,10,9,2.20,3.33,3.22,0,1,2,0,0
859,2014,12,5,,3,6,3.92,3.48,1.89,0,0,3,0,0
860,2014,12,6,,7,11,2.56,3.32,2.64,0,1,3,0,0
861,2014,12,6,,1,12,1.68,3.63,5.06,0,2,0,0,0
862,2014,12,7,,5,2,2.32,3.45,2.86,0,1,0,0,0
863,2014,12,12,,1,2,1.59,3.87,5.41,0,0,1,0,0
864,2014,12,12,,9,7,1.39,4.48,7.65,0,2,0,0,0
865,2014,12,13,,11,3,1.72,3.70,4.54,0,1,1,0,0
866,2014,12,13,,6,10,1.76,3.64,4.39,0,3,3,0,0
867,2014,12,19,,7,1,4.61,3.67,1.73,0,2,1,0,0
868,2014,12,20,,5,6,3.22,3.44,2.13,0,1,0,0,0
869,2014,12,20,,9,3,1.51,3.93,6.47,0,4,1,0,0
870,2014,12,21,,10,11,1.94,3.53,3.70,0,0,2,0,0
871,2014,12,26,,5,9,2.51,3.31,2.70,0,1,1,0,0
872,2014,12,26,,10,1,2.72,3.35,2.47,0,0,3,0,0
873,2014,12,27,,3,2,2.70,3.14,2.62,0,3,3,0,0
874,2014,12,27,,6,7,1.42,4.56,6.82,0,1,0,0,0
875,2014,12,28,,11,12,1.90,3.43,3.97,0,1,0,0,0
876,2014,12,30,,7,5,3.03,3.28,2.30,0,2,5,0,0
877,2014,12,30,,2,10,2.10,3.32,3.43,0,0,0,0,0
878,2014,12,31,,1,11,1.75,3.68,4.58,0,1,3,0,0
879,2015,1,1,,12,3,2.00,3.30,3.75,0,0,0,0,0
880,2015,1,2,,6,9,2.05,3.39,3.46,0,1,2,0,0
881,2015,1,3,,10,7,1.76,3.61,4.46,0,0,0,0,0
882,2015,1,4,,11,2,2.08,3.36,3.42,0,3,0,0,0
883,2015,1,4,,3,5,3.07,3.30,2.26,0,2,0,0,0
